,name,postcode,latitude,longitude,popularity,price,rating
213,St Stephens Tavern,SW1A 2JR,51.501093,-0.125416,0.9966173902921662,1.0,7.0
214,Doggetts Coat & Badge,SE1 9UD,51.508486,-0.104715,0.9942172040507508,2.0,6.5
215,The Barrowboy and Banker,SE1 9QQ,51.50622,-0.088653,0.9954394133395412,2.0,6.5
216,The Paternoster,EC4M 7DZ,51.515147,-0.098648,0.9909928995460364,2.0,6.2
217,The Coal Hole,WC2R 0DW,51.51031,-0.121462,0.9918519380747294,1.0,6.7
218,The Crown & Two Chairmen,W1D 3SB,51.513917,-0.132365,0.9840693749272494,2.0,6.8
219,Penderel's Oak,WC1V 7HP,51.517995,-0.115506,0.9934489582120823,1.0,6.4
220,The Montagu Pyke,WC2H 0DT,51.514026,-0.130009,0.9890490047724364,1.0,6.6
221,The Railway Tavern,EC2M 7NX,51.517473,-0.083313,0.9935746711675008,1.0,5.9
222,Hamilton Hall,EC2M 7PY,51.518963,-0.081491,0.9976743103247584,1.0,5.9
223,Crown & Anchor,WC2H 9PS,51.514034,-0.12515,0.9901687812827378,1.0,6.3
224,The Sir John Oldcastle,EC1M 3JF,51.519845,-0.105863,0.993004306832732,2.0,5.7
225,Theodore Bullfrog,WC2N 6HL,51.508844,-0.123909,0.9744337096961936,1.0,6.0
226,Maple Leaf,WC2E 7LJ,51.511006,-0.122778,0.980144337096962,2.0,5.9
227,The Hole in the Wall,SE1 8SQ,51.504149,-0.113121,0.9916726807123736,1.0,5.7
228,The York,N1 8EQ,51.533785,-0.104983,0.9871330462111512,2.0,5.7
229,Millers,N1 9DX,51.531529,-0.121105,0.9794436037713886,1.0,5.8
230,The Oval Tavern,CR0 6BR,51.378307,-0.08766,0.9478966360144336,1.0,8.1
231,Dog & Bull,CR0 1RG,51.373001,-0.10156,0.9541543475730416,1.0,7.4
232,The Royal Standard,CR0 1SS,51.369907,-0.1017,0.962979862646956,1.0,7.2
233,The Spread Eagle,CR0 1NX,51.372206,-0.100033,0.964828308695146,1.0,7.0
234,The Crown & Pepper,CR0 1NF,51.368942,-0.09918,0.9276452101035968,1.0,7.0
235,The Green Dragon,CR0 1NA,51.371635,-0.100653,0.9894750320102432,1.0,6.9
236,The Tree House,CR0 1DP,51.365253,-0.099315,0.93079734605983,1.0,7.1
237,The Clifton Arms,SE25 6NJ,51.396457,-0.086244,0.9258875567454312,1.0,7.7
238,The Plough,CR0 4QR,51.367301,-0.131859,0.9373553719008264,1.0,6.7
239,The George,CR0 1LA,51.374118,-0.098509,0.9799534396461412,1.0,6.0
240,The Skylark,CR0 1DP,51.366174,-0.099305,0.9708788266790828,1.0,6.1
241,Crown & Sceptre,CR2 6RB,51.359532,-0.096573,0.979501804213712,1.0,6.2
242,Two Brewers,CR0 2DW,51.388268,-0.090023,0.9236759399371436,1.0,6.4
243,Goose on the Market,CR0 1RG,51.372735,-0.101447,0.0936165754859737,1.0,5.5
246,The Ship of Fools,CR0 2RE,51.378538,-0.103593,0.9263065999301596,1.0,6.0
248,Bedford Tavern,CR0 2EF,51.378826,-0.095108,0.9569875451053428,1.0,5.8
252,Porter and Sorter,CR0 6BT,51.375946,-0.091831,0.9863065999301596,1.0,5.6
278,The Drapers Arms,W5 5DB,51.51186,-0.305193,0.9512396694214876,1.0,8.4
279,The Castle Inn,W5 5EU,51.506168,-0.305337,0.9379885927133046,1.0,8.1
280,The Grange,W5 3XH,51.508335,-0.296239,0.9769572808753346,1.0,8.1
281,Red Lion,W5 5RA,51.507921,-0.304918,0.9513607263415202,2.0,7.9
282,Express Tavern,TW8 0EW,51.489081,-0.28782,0.9784169479688044,1.0,8.8
283,The Dodo Micropub,W7 3TR,51.506847,-0.337546,0.9592270981259458,1.0,8.4
284,The Haven Arms,W5 2HZ,51.516925,-0.300023,0.921389826562682,1.0,7.5
285,The Duke of Kent,W13 8DL,51.525272,-0.320271,0.93328832499127,2.0,7.8
286,The Station House,W3 6BH,51.508768,-0.263176,0.9765754859736934,1.0,8.3
287,The Lord Nelson,TW8 9NY,51.491341,-0.308527,0.926995693167268,2.0,7.8
