,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police,metro,police
29,J J Moons,NW9 9EL,London Borough of Brent,51.584604,-0.280033,1.0,5.7,0.9920568036317076,64,1,1.0,95.2925328369254,208.55241704436077,1,1
30,Black Horse,BR6 8NW,London Borough of Bromley,51.368235,0.056846,1.0,7.5,0.9547410080316612,36,0,0.0,13668.240421500372,2826.749081846453,0,0
31,One Inn the Wood,BR5 1LA,London Borough of Bromley,51.390105,0.073816,1.0,8.3,0.9743708532184844,33,0,0.0,12242.494451263956,2363.821927948767,0,0
32,The British Queen,BR6 8NL,London Borough of Bromley,51.366437,0.0542,1.0,7.3,0.9464020486555698,43,0,0.0,13763.706988450707,2873.3620059582745,0,0
33,The Greyhound,BR2 6BP,London Borough of Bromley,51.363645,0.028593,1.0,7.4,0.956840879990688,0,0,0.0,13364.667696995504,4412.32250609468,0,0
34,The Woodman,BR6 7BA,London Borough of Bromley,51.359255,0.067621,1.0,6.6,0.9380677453148644,8,0,0.0,14900.304644758846,1682.199071953759,0,0
35,The Royal Oak,BR6 6BJ,London Borough of Bromley,51.351319,0.089519,1.0,7.0,0.904898149225934,9,0,1.0,16421.666548777026,245.8691580339505,0,1
36,Ye Olde Whyte Lyon,BR6 8NE,London Borough of Bromley,51.364223,0.056685,1.0,6.4,0.9090862530555232,36,0,0.0,14060.927977705953,2603.929158419752,0,0
37,The Chequers,BR2 8AP,London Borough of Bromley,51.39028,0.045439,1.0,6.5,0.9756116866488184,22,0,0.0,11135.478054157677,4109.081645980033,0,0
38,The Fox Inn,BR2 6BQ,London Borough of Bromley,51.361966,0.02739,1.0,6.4,0.938291235013386,0,0,0.0,13509.864814532866,4450.039901811917,0,0
39,The Queens Head,BR6 6BQ,London Borough of Bromley,51.352253,0.089814,1.0,6.2,0.9880409731113956,9,0,1.0,16343.800356352624,140.24310121896016,0,1
40,Sovereign of the Seas,BR5 1DG,London Borough of Bromley,51.389374,0.072001,1.0,6.1,0.9537306483529276,33,0,0.0,12231.134884779212,2417.823532205514,0,0
41,The Buff,BR6 9NL,London Borough of Bromley,51.360007,0.087786,1.0,5.7,0.9353043883133512,10,0,0.0,15539.26119221872,739.3734308107563,0,0
42,Daylight Inn,BR5 1LZ,London Borough of Bromley,51.389403,0.075031,1.0,5.7,0.9517471772785472,36,0,0.0,12355.771722097565,2249.399091206109,0,0
43,The Harvest Moon,BR6 0LQ,London Borough of Bromley,51.377816,0.101193,1.0,5.0,0.9570690257245956,69,0,3.0,14499.13856976934,86.02365360409341,0,1
44,Tapping the Admiral,NW1 8SU,London Borough of Camden,51.545249,-0.146113,2.0,8.9,0.987289023396578,209,0,0.0,287.1062891300266,551.3502446716402,1,0
45,The Hawley Arms,NW1 8QU,London Borough of Camden,51.542083,-0.145564,2.0,8.8,0.9828029333022932,339,1,3.0,351.28984583721393,426.770513842436,1,1
46,The Southampton Arms,NW5 1LE,London Borough of Camden,51.55606,-0.146228,2.0,9.1,0.985969037364684,83,0,0.0,418.5274377754439,541.8271990985422,1,0
47,The Washington,NW3 4UE,London Borough of Camden,51.545666,-0.162814,1.0,7.7,0.9828285414969152,71,0,0.0,537.1676411464146,804.5624351760418,0,0
48,The Pineapple,NW5 2NX,London Borough of Camden,51.553066,-0.139617,2.0,8.5,0.976058666045862,150,2,3.0,298.7808032756864,393.6509703268628,1,1
49,Edinboro Castle,NW1 7RU,London Borough of Camden,51.536059,-0.144828,2.0,8.1,0.974920265394017,235,2,1.0,378.3979914712401,357.1637888661436,1,1
50,The Lion and Unicorn,NW5 2ED,London Borough of Camden,51.548005,-0.139121,1.0,8.2,0.9646979397043416,126,1,2.0,293.2440719870276,246.0353738959981,1,1
51,The Rose & Crown,NW5 2SG,London Borough of Camden,51.550286,-0.13306,1.0,8.6,0.9731207077173788,123,0,0.0,526.5416653911577,612.6120648400339,0,0
52,The Colonel Fawcett,NW1 0SS,London Borough of Camden,51.541765,-0.136043,2.0,8.2,0.9837550925387032,106,0,4.0,261.0839067549132,274.54101539383123,1,1
53,The Elgin,W9 1NJ,City of Westminster,51.53033,-0.18551,2.0,8.4,0.9870911418926784,91,1,0.0,55.10109477114572,1539.241351058647,1,0
